1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.50666E+18,557545.0969,,,9/29/17,566562.821,1133125.642,9/29/17,1133125.642,,
1.50666E+18,556370.277,,,9/29/17,557545.0969,1115090.194,9/29/17,1115090.194,,
1.50666E+18,544586.7426,,,9/29/17,556370.277,1112740.554,9/29/17,1112740.554,,
1.50666E+18,542136.0833,,,9/29/17,544586.7426,1089173.485,9/29/17,1089173.485,,
1.50695E+18,554067.3833,,,9/29/17,542136.0833,1084272.167,9/29/17,1084272.167,,
1.50714E+18,548750.1878,,,10/2/17,554067.3833,1108134.767,10/2/17,1108134.767,,
1.50716E+18,550838.7235,,,10/4/17,548750.1878,1097500.376,10/4/17,1097500.376,,
1.50718E+18,550475.0025,,,10/4/17,550838.7235,1101677.447,10/4/17,1101677.447,,
1.50751E+18,580350.966,,,10/5/17,550475.0025,1100950.005,10/5/17,1100950.005,,
1.50752E+18,578713.4266,,,10/9/17,580350.966,1160701.932,10/9/17,1160701.932,,
1.50752E+18,575577.5066,,,10/9/17,578713.4266,1157426.853,10/9/17,1157426.853,,
1.50783E+18,570493.3795,,,10/9/17,575577.5066,1151155.013,10/9/17,1151155.013,,
1.50785E+18,574659.2108,,,10/12/17,570493.3795,1140986.759,10/12/17,1140986.759,,
1.50785E+18,572606.4025,,,10/12/17,574659.2108,1149318.422,10/12/17,1149318.422,,
1.50785E+18,570958.9822,,,10/12/17,572606.4025,1145212.805,10/12/17,1145212.805,,
1.50785E+18,570076.3344,,,10/12/17,570958.9822,1141917.964,10/12/17,1141917.964,,
1.50785E+18,567232.9955,,,10/13/17,570076.3344,1140152.669,10/13/17,1140152.669,,
1.50786E+18,569286.8835,,,10/13/17,567232.9955,1134465.991,10/13/17,1134465.991,,
1.50807E+18,602914.682,,,10/13/17,569286.8835,1138573.767,10/13/17,1138573.767,,
1.50821E+18,570165.5091,,,10/15/17,602914.682,1205829.364,10/15/17,1205829.364,,
1.50821E+18,569834.378,,,10/17/17,570165.5091,1140331.018,10/17/17,1140331.018,,
1.50821E+18,569520.6629,,,10/17/17,569834.378,1139668.756,10/17/17,1139668.756,,
1.50821E+18,570600.1696,,,10/17/17,569520.6629,1139041.326,10/17/17,1139041.326,,
1.50821E+18,571469.8808,,,10/17/17,570600.1696,1141200.339,10/17/17,1141200.339,,
1.50822E+18,568826.7292,,,10/17/17,571469.8808,1142939.762,10/17/17,1142939.762,,
1.50824E+18,560002.7441,,,10/17/17,568826.7292,1137653.458,10/17/17,1137653.458,,
1.50853E+18,551610.2842,,,10/17/17,560002.7441,1120005.488,10/17/17,1120005.488,,
1.50866E+18,549690.9614,,,10/20/17,551610.2842,1103220.568,10/20/17,1103220.568,,
1.50868E+18,554864.9492,,,10/22/17,549690.9614,1099381.923,10/22/17,1099381.923,,
1.50868E+18,553336.2442,,,10/22/17,554864.9492,1109729.898,10/22/17,1109729.898,,
1.5087E+18,547653.0196,,,10/22/17,553336.2442,1106672.488,10/22/17,1106672.488,,
1.5087E+18,547653.0196,,,10/22/17,547653.0196,1095306.039,10/22/17,1095306.039,,
1.50872E+18,540718.3409,,,10/22/17,547653.0196,1095306.039,10/22/17,1095306.039,,
1.5089E+18,516241.9983,,,10/23/17,540718.3409,1081436.682,10/23/17,1081436.682,,
1.50893E+18,513571.781,,,10/25/17,516241.9983,1032483.997,10/25/17,1032483.997,,
1.50893E+18,509010.3836,,,10/25/17,513571.781,1027143.562,10/25/17,1027143.562,,
1.50893E+18,514006.5392,,,10/25/17,509010.3836,1018020.767,10/25/17,1018020.767,,
1.50893E+18,514006.5392,,,10/25/17,514006.5392,1028013.078,10/25/17,1028013.078,,
1.50893E+18,514986.4124,,,10/25/17,514006.5392,1028013.078,10/25/17,1028013.078,,
1.50894E+18,518804.2725,,,10/25/17,514986.4124,1029972.825,10/25/17,1029972.825,,
1.50901E+18,522785.8184,,,10/25/17,518804.2725,1037608.545,10/25/17,1037608.545,,
1.50919E+18,522785.8184,,,10/26/17,522785.8184,1045571.637,10/26/17,1045571.637,,
1.50919E+18,517860.7614,,,10/28/17,522785.8184,1045571.637,10/28/17,1045571.637,,
1.50948E+18,533101.7292,,,10/28/17,517860.7614,1035721.523,10/28/17,1035721.523,,
1.50977E+18,540466.7131,,,10/31/17,533101.7292,1066203.458,10/31/17,1066203.458,,
1.50977E+18,541568.3312,,,11/4/17,540466.7131,1080933.426,11/4/17,1080933.426,,
1.50982E+18,544801.3174,,,11/4/17,541568.3312,1083136.662,11/4/17,1083136.662,,
1.50987E+18,548989.8336,,,11/4/17,544801.3174,1089602.635,11/4/17,1089602.635,,
1.51006E+18,531421.8754,,,11/5/17,548989.8336,1097979.667,11/5/17,1097979.667,,
1.51006E+18,529816.9133,,,11/7/17,531421.8754,1062843.751,11/7/17,1062843.751,,
1.51007E+18,526933.4752,,,11/7/17,529816.9133,1059633.827,11/7/17,1059633.827,,
1.51007E+18,528309.1369,,,11/7/17,526933.4752,1053866.95,11/7/17,1053866.95,,
1.51007E+18,528272.4181,,,11/7/17,528309.1369,1056618.274,11/7/17,1056618.274,,
1.51007E+18,528382.4627,,,11/7/17,528272.4181,1056544.836,11/7/17,1056544.836,,
1.51007E+18,527391.4202,,,11/7/17,528382.4627,1056764.925,11/7/17,1056764.925,,
1.51007E+18,529152.6171,,,11/7/17,527391.4202,1054782.84,11/7/17,1054782.84,,
1.51007E+18,529955.4184,,,11/7/17,529152.6171,1058305.234,11/7/17,1058305.234,,
1.51007E+18,526712.8888,,,11/7/17,529955.4184,1059910.837,11/7/17,1059910.837,,
1.51032E+18,538873.129,,,11/7/17,526712.8888,1053425.778,11/7/17,1053425.778,,
1.51032E+18,538621.6285,,,11/10/17,538873.129,1077746.258,11/10/17,1077746.258,,
1.51033E+18,534985.2002,,,11/10/17,538621.6285,1077243.257,11/10/17,1077243.257,,
1.51047E+18,501817.5804,,,11/10/17,534985.2002,1069970.4,11/10/17,1069970.4,,
1.51048E+18,502259.7121,,,11/12/17,501817.5804,1003635.161,11/12/17,1003635.161,,
1.51049E+18,501318.6911,,,11/12/17,502259.7121,1004519.424,11/12/17,1004519.424,,
1.51049E+18,499350.9331,,,11/12/17,501318.6911,1002637.382,11/12/17,1002637.382,,
1.51049E+18,502024.3099,,,11/12/17,499350.9331,998701.8661,11/12/17,998701.8661,,
1.51083E+18,541869.8736,,,11/12/17,502024.3099,1004048.62,11/12/17,1004048.62,,
1.51097E+18,541160.7398,,,11/16/17,541869.8736,1083739.747,11/16/17,1083739.747,,
